q_id,ans
1,Incorrect 1v2
2,Incorrect 2v2
3,Incorrect 3v3
4,Incorrect 4v4
5,Incorrect 5v5
6,Incorrect 6v6
8,Incorrect 8v8
9,Incorrect 9v9
10,Incorrect 10v10
11,Incorrect 11v11
12,Incorrect 12v12
13,Incorrect 13v13
15,Incorrect 15v15
16,Incorrect 16v16
17,Incorrect 17v17
18,Incorrect 18v18
19,Incorrect 19v19
21,Incorrect 21v21
22,Incorrect 22v22
23,Incorrect 23v23
24,Incorrect 24v24
25,Incorrect 25v25
26,Incorrect 26v26
27,Incorrect 27v27
28,Incorrect 28v28
30,Incorrect 30v30
31,Incorrect 31v31
32,Incorrect 32v32
33,Incorrect 33v33
34,Incorrect 34v34
35,Incorrect 35v35
37,Incorrect 37v37
38,Incorrect 38v38
39,Incorrect 39v39
40,Incorrect 40v40
41,Incorrect 41v41
42,Incorrect 42v42
43,Incorrect 43v43
44,Incorrect 44v44
45,Incorrect 45v45
46,Incorrect 46v46
47,Incorrect 47v47
48,Incorrect 48v48
50,Incorrect 50v50
51,Incorrect 51v51
52,Incorrect 52v52
53,Incorrect 53v53
54,Incorrect 54v54
55,Incorrect 55v55
56,Incorrect 56v56
57,Incorrect 57v57
58,Incorrect 58v58
59,Incorrect 59v59
60,Incorrect 60v60
61,Incorrect 61v61
62,Incorrect 62v62
63,Incorrect 63v63
65,Incorrect 65v65
66,Incorrect 66v66
67,Incorrect 67v67
68,Incorrect 68v68
69,Incorrect 69v69
70,Incorrect 70v70
71,Incorrect 71v71
72,Incorrect 72v72
73,Incorrect 73v73
74,Incorrect 74v74
75,Incorrect 75v75
76,Incorrect 76v76
77,Incorrect 77v77
78,Incorrect 78v78
79,Incorrect 79v79
81,Incorrect 81v81
82,Incorrect 82v82
83,Incorrect 83v83
84,Incorrect 84v84
85,Incorrect 85v85
86,Incorrect 86v86
87,Incorrect 87v87
88,Incorrect 88v88
89,Incorrect 89v89
90,Incorrect 90v90
91,Incorrect 91v91
92,Incorrect 92v92
93,Incorrect 93v93
94,Incorrect 94v94
95,Incorrect 95v95
97,Incorrect 97v97
98,Incorrect 98v98
99,Incorrect 99v99
100,Incorrect 100v100
101,Incorrect 101v101
102,Incorrect 102v102
103,Incorrect 103v103
104,Incorrect 104v104
105,Incorrect 105v105
106,Incorrect 106v106
107,Incorrect 107v107
108,Incorrect 108v108
109,Incorrect 109v109
110,Incorrect 110v110
111,Incorrect 111v111
112,Incorrect 112v112
113,Incorrect 113v113
114,Incorrect 114v114
115,Incorrect 115v115
116,Incorrect 116v116
117,Incorrect 117v117
118,Incorrect 118v118
119,Incorrect 119v119
120,Incorrect 120v120
121,Incorrect 121v121
122,Incorrect 122v122
124,Incorrect 124v124
125,Incorrect 125v125
126,Incorrect 126v126
127,Incorrect 127v127
128,Incorrect 128v128
129,Incorrect 129v129
130,Incorrect 130v130
131,Incorrect 131v131
132,Incorrect 132v132
133,Incorrect 133v133
134,Incorrect 134v134
135,Incorrect 135v135
136,Incorrect 136v136
137,Incorrect 137v137
138,Incorrect 138v138
139,Incorrect 139v139
140,Incorrect 140v140
141,Incorrect 141v141
142,Incorrect 142v142
143,Incorrect 143v143
144,Incorrect 144v144
145,Incorrect 145v145
146,Incorrect 146v146
147,Incorrect 147v147
148,Incorrect 148v148
149,Incorrect 149v149
150,Incorrect 150v150
151,Incorrect 151v151
152,Incorrect 152v152
153,Incorrect 153v153
154,Incorrect 154v154
156,Incorrect 156v156
157,Incorrect 157v157
158,Incorrect 158v158
159,Incorrect 159v159
160,Incorrect 160v160
161,Incorrect 161v161
162,Incorrect 162v162
163,Incorrect 163v163
164,Incorrect 164v164
165,Incorrect 165v165
166,Incorrect 166v166
167,Incorrect 167v167
168,Incorrect 168v168
169,Incorrect 169v169
